Page Name,Section/Component,Element Name,Action Type,Trigger/Interaction,Expected Behavior,Key Output/Outcome,Handle Function,URL/Path,Auth/Admin Status
Homepage,Popular Comparisons Section,Compare Now Button,Click,User clicks compare button,Navigate to comparison tool,Redirect to compare page,Link navigation,/compare,No Auth
Homepage,Electric Bikes Section,Electric Bike Card,Click,User clicks electric bike,Navigate to bike details,Show electric bike info,Link navigation,/bikes/[id],No Auth
Homepage,Electric Bikes Section,View All Electric Button,Click,User clicks view all electric,Navigate to electric page,Show all electric bikes,Link navigation,/electric,No Auth
Homepage,Web Stories Section,Story Card,Click,User clicks story thumbnail,Open story viewer,Show story interface,Link navigation,/web-stories/[id],No Auth
Homepage,Used Bikes Section,Used Bike Card,Click,User clicks used bike,Navigate to used bike details,Show used bike info,Link navigation,/used-bikes/[id],No Auth
Homepage,Used Bikes Section,View More Used Bikes Button,Click,User clicks view more,Navigate to used bikes page,Show all used bikes,Link navigation,/used-bikes,No Auth
Homepage,Footer,Newsletter Email Input,Form Submission,User enters email and submits,Subscribe to newsletter,Add email to mailing list,handleSubscribe,/,No Auth
Homepage,Footer,Newsletter Subscribe Button,Click,User clicks subscribe button,Process newsletter signup,Submit subscription form,handleSubscribe,/,No Auth
Homepage,Footer,About Us Link,Click,User clicks About Us,Navigate to about page,Show company information,Link navigation,/about,No Auth
Homepage,Footer,Contact Us Link,Click,User clicks Contact Us,Navigate to contact page,Show contact information,Link navigation,/contact,No Auth
Homepage,Footer,Showrooms Link,Click,User clicks Showrooms,Navigate to dealers page,Show dealer locations,Link navigation,/showrooms,No Auth
Homepage,Footer,Brand Links,Click,User clicks brand name in footer,Navigate to brand page,Show brand bikes,Link navigation,/brands/[slug],No Auth
Bikes Page,Filter Sidebar,Mobile Filter Toggle,Click,User clicks filter button on mobile,Show/hide mobile filters,Toggle filter sidebar,setShowMobileFilters,/bikes,No Auth
Bikes Page,Filter Sidebar,Brand Filter Checkboxes,Click,User selects/deselects brands,Filter bikes by selected brands,Apply brand filters,handleBrandFilter,/bikes,No Auth
Bikes Page,Filter Sidebar,Body Type Filter,Click,User selects bike categories,Filter by body types,Apply category filters,handleBodyTypeFilter,/bikes,No Auth
Bikes Page,Filter Sidebar,Price Range Slider,Drag,User adjusts price range,Set price filter limits,Update price range,handlePriceChange,/bikes,No Auth
Bikes Page,Filter Sidebar,Engine Displacement Range,Input,User sets engine size range,Filter by displacement,Apply engine filters,handleEngineFilter,/bikes,No Auth
Bikes Page,Filter Sidebar,Mileage Range Filter,Input,User sets mileage range,Filter by fuel efficiency,Apply mileage filters,handleMileageFilter,/bikes,No Auth
Bikes Page,Filter Sidebar,Clear All Filters,Click,User clicks clear all,Reset all filter selections,Clear applied filters,clearFilters,/bikes,No Auth
Bikes Page,Main Content,Sort Dropdown,Click,User changes sort criteria,Sort bikes by selected option,Reorder bike results,handleSortChange,/bikes,No Auth
Bikes Page,Main Content,View Mode Toggle,Click,User switches grid/list view,Change display layout,Toggle view mode,setViewMode,/bikes,No Auth
Bikes Page,Bike Grid,Bike Card,Click,User clicks bike card,Navigate to bike details,Show bike detail page,Link navigation,/bikes/[id],No Auth
Bikes Page,Bike Grid,Compare Button,Click,User clicks compare icon,Add/remove from comparison,Toggle comparison state,handleCompareClick,/bikes,No Auth
Bikes Page,Bike Grid,Wishlist Button,Click,User clicks heart icon,Add/remove from wishlist,Toggle wishlist state,handleWishlistClick,/bikes,User Auth Required
Bikes Page,Pagination,Page Numbers,Click,User clicks specific page,Navigate to page,Load page results,handlePagination,/bikes?page=[n],No Auth
Bikes Page,Pagination,Next/Previous Buttons,Click,User navigates pages,Go to next/previous page,Load different results,handlePagination,/bikes?page=[n],No Auth
Brand Page,Brand Header,Brand Logo,Display,Shows brand information,Display brand details,Show brand info,Static display,/brands/[slug],No Auth
Brand Page,Filter Controls,Sort Dropdown,Click,User selects sort option,Sort brand bikes,Reorder results,handleSortChange,/brands/[slug],No Auth
Brand Page,Filter Controls,Price Range Filter,Input,User sets price range,Filter brand bikes by price,Apply price filter,handlePriceFilter,/brands/[slug],No Auth
Brand Page,Brand Grid,View Mode Toggle,Click,User switches view mode,Change layout between grid/list,Toggle display mode,setViewMode,/brands/[slug],No Auth
Brand Page,Bike Results,Bike Card,Click,User clicks bike,Navigate to bike details,Show bike page,Link navigation,/bikes/[id],No Auth
Brand Page,Bike Results,Compare Button,Click,User adds to comparison,Add bike to comparison,Update comparison state,handleCompareClick,/brands/[slug],No Auth
Brand Page,Bike Results,Wishlist Button,Click,User adds to wishlist,Add bike to wishlist,Update wishlist state,handleWishlistClick,/brands/[slug],User Auth Required
Compare Page,Comparison Slots,Add Bike Button,Click,User clicks to add bike,Show bike selection dropdowns,Display bike picker interface,handleAddBike,/compare,No Auth
Compare Page,Comparison Slots,Brand Dropdown,Click,User selects brand,Filter models by brand,Update model options,handleBrandSelect,/compare,No Auth
Compare Page,Comparison Slots,Model Dropdown,Click,User selects model,Filter variants by model,Update variant options,handleModelSelect,/compare,No Auth
Compare Page,Comparison Slots,Variant Dropdown,Click,User selects variant,Add bike to comparison,Update comparison state,handleVariantSelect,/compare,No Auth
Compare Page,Comparison Slots,Remove Bike Button,Click,User removes bike from comparison,Remove from comparison list,Update comparison state,removeFromComparison,/compare,No Auth
Compare Page,Comparison Table,Specification Rows,Display,Shows bike specifications,Display comparison data,Show spec differences,Static display,/compare,No Auth
Compare Page,Comparison Controls,Clear All Button,Click,User clears all bikes,Reset entire comparison,Clear comparison state,clearComparison,/compare,No Auth
Compare Page,Comparison Bar,Compare Button,Click,User clicks compare when bikes selected,Navigate to comparison view,Show comparison interface,Link navigation,/compare,No Auth
Compare Page,Comparison Bar,Remove Individual Bike,Click,User removes specific bike,Remove from comparison,Update comparison count,removeFromComparison,/compare,No Auth
Individual Bike Page,Bike Gallery,Image Carousel,Click/Swipe,User navigates bike images,Show different bike angles,Update displayed image,handleImageNavigation,/bikes/[id],No Auth
Individual Bike Page,Bike Actions,Add to Wishlist Button,Click,User adds bike to wishlist,Save bike to wishlist,Update wishlist state,handleWishlistClick,/bikes/[id],User Auth Required
Individual Bike Page,Bike Actions,Add to Compare Button,Click,User adds bike to comparison,Add to comparison list,Update comparison state,handleCompareClick,/bikes/[id],No Auth
Individual Bike Page,Bike Actions,Book Test Ride Button,Click,User books test ride,Navigate to booking form,Show test ride form,Link navigation,/test-ride/[bikeId],No Auth
Individual Bike Page,Bike Actions,Get On-Road Price Button,Click,User gets price quote,Show price calculator,Display price breakdown,handlePriceCalculator,/bikes/[id],No Auth
Individual Bike Page,Bike Actions,Share Button,Click,User shares bike,Open share options,Show sharing interface,handleShare,/bikes/[id],No Auth
Individual Bike Page,Specifications,Spec Tabs,Click,User switches spec categories,Show different specifications,Display selected specs,handleTabChange,/bikes/[id],No Auth
Individual Bike Page,Reviews Section,Write Review Button,Click,User writes review,Navigate to review form,Show review interface,Link navigation,/bikes/[id]/reviews,User Auth Required
Individual Bike Page,Similar Bikes,Similar Bike Card,Click,User clicks similar bike,Navigate to that bike,Show bike details,Link navigation,/bikes/[id],No Auth
Search Page,Search Results,Search Input,Form Submission,User modifies search query,Update search results,Show filtered results,handleSearch,/search,No Auth
Search Page,Search Results,Filter Options,Click,User applies search filters,Filter search results,Update displayed results,handleFilterChange,/search,No Auth
Search Page,Search Results,Result Item Card,Click,User clicks search result,Navigate to result page,Show selected item details,Link navigation,/bikes/[id] or /brands/[slug],No Auth
Search Page,Search Results,Sort Dropdown,Click,User changes sort order,Sort search results,Reorder displayed results,handleSortChange,/search,No Auth
Finance Page,Finance Options,Finance Partner Cards,Click,User clicks finance partner,Navigate to partner details,Show partner information,Link navigation,/finance/partners/[id],No Auth
Finance Page,Finance Options,EMI Calculator Link,Click,User clicks calculator link,Navigate to EMI calculator,Show calculation tool,Link navigation,/finance/emi-calculator,No Auth
Finance Page,Finance Options,Loan Eligibility Link,Click,User clicks eligibility link,Navigate to eligibility checker,Show eligibility form,Link navigation,/finance/eligibility,No Auth
EMI Calculator Page,Calculator Form,Loan Amount Slider,Drag,User adjusts loan amount,Update EMI calculation,Recalculate monthly payment,handleLoanAmountChange,/finance/emi-calculator,No Auth
EMI Calculator Page,Calculator Form,Down Payment Input,Input,User enters down payment,Update loan calculations,Adjust EMI and total amount,handleDownPaymentChange,/finance/emi-calculator,No Auth
EMI Calculator Page,Calculator Form,Interest Rate Input,Input,User sets interest rate,Update EMI calculation,Recalculate payment terms,handleInterestRateChange,/finance/emi-calculator,No Auth
EMI Calculator Page,Calculator Form,Loan Tenure Dropdown,Click,User selects loan period,Update payment schedule,Adjust EMI calculation,handleTenureChange,/finance/emi-calculator,No Auth
EMI Calculator Page,Results Display,EMI Amount Display,Display,Shows calculated EMI,Display monthly payment,Show payment breakdown,Static display,/finance/emi-calculator,No Auth
EMI Calculator Page,Bike Suggestions,Suggested Bike Card,Click,User clicks suggested bike,Navigate to bike with EMI,Show bike with financing,Link navigation,/bikes/[id]?emi=true,No Auth
Loan Eligibility Page,Eligibility Form,Income Input,Input,User enters monthly income,Collect income information,Store form data,handleInputChange,/finance/eligibility,No Auth
Loan Eligibility Page,Eligibility Form,Age Input,Input,User enters age,Collect age information,Store form data,handleInputChange,/finance/eligibility,No Auth
Loan Eligibility Page,Eligibility Form,Employment Type Dropdown,Click,User selects employment type,Set employment status,Update form state,handleEmploymentChange,/finance/eligibility,No Auth
Loan Eligibility Page,Eligibility Form,CIBIL Score Input,Input,User enters credit score,Collect credit information,Store form data,handleInputChange,/finance/eligibility,No Auth
Loan Eligibility Page,Eligibility Form,Check Eligibility Button,Click,User checks loan eligibility,Calculate loan eligibility,Show eligibility result,checkEligibility,/finance/eligibility,No Auth
Login Page,Login Form,Email Input,Input,User enters login email,Collect email credential,Store email for validation,handleEmailChange,/login,No Auth
Login Page,Login Form,Password Input,Input,User enters password,Collect password credential,Store password for auth,handlePasswordChange,/login,No Auth
Login Page,Login Form,Show Password Toggle,Click,User toggles password visibility,Show/hide password text,Toggle input type,togglePasswordVisibility,/login,No Auth
Login Page,Login Form,Remember Me Checkbox,Click,User selects remember me,Set remember preference,Store login preference,handleRememberMe,/login,No Auth
Login Page,Login Form,Login Button,Click,User submits login form,Authenticate user credentials,Process login attempt,handleSubmit,/login,No Auth
Login Page,Login Form,Google Login Button,Click,User logs in with Google,Authenticate with Google OAuth,Process social login,handleGoogleLogin,/login,No Auth
Login Page,Login Form,Register Link,Click,User clicks register link,Navigate to registration page,Show registration form,Link navigation,/register,No Auth
Login Page,Login Form,Forgot Password Link,Click,User clicks forgot password,Navigate to password reset,Show reset form,Link navigation,/auth/reset-password,No Auth
Register Page,Registration Form,Full Name Input,Input,User enters full name,Collect user name information,Store name data,handleNameChange,/register,No Auth
Register Page,Registration Form,Email Input,Input,User enters registration email,Collect email for new account,Store email data,handleEmailChange,/register,No Auth
Register Page,Registration Form,Password Input,Input,User enters new password,Collect account password,Store password data,handlePasswordChange,/register,No Auth
Register Page,Registration Form,Confirm Password Input,Input,User confirms password,Verify password match,Validate password confirmation,handleConfirmPasswordChange,/register,No Auth
Register Page,Registration Form,Show Password Toggle,Click,User toggles password visibility,Show/hide password fields,Toggle input types,togglePasswordVisibility,/register,No Auth
Register Page,Registration Form,Terms & Conditions Checkbox,Click,User accepts terms,Accept terms and conditions,Set acceptance state,handleTermsAcceptance,/register,No Auth
Register Page,Registration Form,Register Button,Click,User submits registration form,Create new user account,Process account creation,handleSubmit,/register,No Auth
Register Page,Registration Form,Google Register Button,Click,User registers with Google,Create account with Google OAuth,Process social registration,handleGoogleRegister,/register,No Auth
Register Page,Registration Form,Login Link,Click,User clicks login link,Navigate to login page,Show login form,Link navigation,/login,No Auth
Dashboard Page,Dashboard Navigation,Orders Tab,Click,User clicks orders section,Show order history,Display user orders,setActiveTab,/dashboard/orders,User Auth Required
Dashboard Page,Dashboard Navigation,Shortlisted Tab,Click,User clicks wishlist section,Show saved bikes,Display wishlist items,setActiveTab,/dashboard/shortlisted,User Auth Required
Dashboard Page,Dashboard Navigation,Bookings Tab,Click,User clicks bookings section,Show test ride bookings,Display booking history,setActiveTab,/dashboard/bookings,User Auth Required
Dashboard Page,Dashboard Navigation,Activity Tab,Click,User clicks activity section,Show user activity log,Display recent activities,setActiveTab,/dashboard/activity,User Auth Required
Dashboard Page,Dashboard Navigation,Profile Tab,Click,User clicks profile section,Show profile settings,Display profile form,setActiveTab,/dashboard/profile,User Auth Required
Dashboard Page,Wishlist Section,Remove from Wishlist,Click,User removes bike from wishlist,Remove bike from saved list,Update wishlist state,handleRemoveFromWishlist,/dashboard/shortlisted,User Auth Required
Dashboard Page,Wishlist Section,View Bike Details,Click,User clicks wishlist bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],User Auth Required
Dashboard Page,Profile Section,Profile Photo Upload,File Upload,User uploads profile picture,Update profile image,Store new profile photo,handlePhotoUpload,/dashboard/profile,User Auth Required
Dashboard Page,Profile Section,Update Profile Button,Click,User saves profile changes,Update profile information,Store profile data,handleProfileUpdate,/dashboard/profile,User Auth Required
Dashboard Page,Profile Section,Logout Button,Click,User logs out,Sign out of account,Clear authentication state,handleLogout,/dashboard,User Auth Required
Sell Bike Page,Step 1 - Bike Details,Brand Dropdown,Click,User selects bike brand,Set bike brand selection,Update form state,handleBrandSelect,/sell-bike,User Auth Required
Sell Bike Page,Step 1 - Bike Details,Model Dropdown,Click,User selects bike model,Set bike model selection,Update form state,handleModelSelect,/sell-bike,User Auth Required
Sell Bike Page,Step 1 - Bike Details,Variant Dropdown,Click,User selects bike variant,Set variant selection,Update form state,handleVariantSelect,/sell-bike,User Auth Required
Sell Bike Page,Step 1 - Bike Details,Manufacturing Year Dropdown,Click,User selects bike year,Set year selection,Update form state,handleYearSelect,/sell-bike,User Auth Required
Sell Bike Page,Step 1 - Bike Details,Body Type Dropdown,Click,User selects bike category,Set category selection,Update form state,handleBodyTypeSelect,/sell-bike,User Auth Required
Sell Bike Page,Step 1 - Bike Details,Fuel Type Dropdown,Click,User selects fuel type,Set fuel type selection,Update form state,handleFuelTypeSelect,/sell-bike,User Auth Required
Sell Bike Page,Step 2 - Condition,KM Driven Input,Input,User enters kilometers driven,Set odometer reading,Update form state,handleKMChange,/sell-bike,User Auth Required
Sell Bike Page,Step 2 - Condition,Ownership Dropdown,Click,User selects ownership number,Set ownership count,Update form state,handleOwnershipSelect,/sell-bike,User Auth Required
Sell Bike Page,Step 2 - Condition,Expected Price Input,Input,User enters selling price,Set asking price,Update form state,handlePriceChange,/sell-bike,User Auth Required
Sell Bike Page,Step 2 - Condition,Bike Condition Dropdown,Click,User selects condition status,Set condition rating,Update form state,handleConditionSelect,/sell-bike,User Auth Required
Sell Bike Page,Step 3 - Photos,Photo Upload Area,File Upload,User uploads bike photos,Add bike images to listing,Store photo data,handlePhotoUpload,/sell-bike,User Auth Required
Sell Bike Page,Step 3 - Photos,Remove Photo Button,Click,User removes uploaded photo,Delete selected image,Update photo list,handlePhotoRemove,/sell-bike,User Auth Required
Sell Bike Page,Step 4 - Contact,Owner Name Input,Input,User enters owner name,Collect owner information,Update form state,handleOwnerNameChange,/sell-bike,User Auth Required
Sell Bike Page,Step 4 - Contact,Email Input,Input,User enters contact email,Collect contact information,Update form state,handleEmailChange,/sell-bike,User Auth Required
Sell Bike Page,Step 4 - Contact,Phone Input,Input,User enters phone number,Collect phone information,Update form state,handlePhoneChange,/sell-bike,User Auth Required
Sell Bike Page,Step 4 - Contact,City Input,Input,User enters city location,Set listing location,Update form state,handleCityChange,/sell-bike,User Auth Required
Sell Bike Page,Step 4 - Contact,State Dropdown,Click,User selects state location,Set state information,Update form state,handleStateSelect,/sell-bike,User Auth Required
Sell Bike Page,Step 4 - Contact,RC Available Checkbox,Click,User confirms RC availability,Set document status,Update form state,handleRCAvailable,/sell-bike,User Auth Required
Sell Bike Page,Step 4 - Contact,Insurance Valid Checkbox,Click,User confirms insurance status,Set insurance status,Update form state,handleInsuranceStatus,/sell-bike,User Auth Required
Sell Bike Page,Step 4 - Contact,PUC Valid Checkbox,Click,User confirms PUC status,Set PUC status,Update form state,handlePUCStatus,/sell-bike,User Auth Required
Sell Bike Page,Form Navigation,Next Step Button,Click,User proceeds to next step,Advance form progression,Show next form section,handleNextStep,/sell-bike,User Auth Required
Sell Bike Page,Form Navigation,Previous Step Button,Click,User goes to previous step,Go back in form,Show previous section,handlePreviousStep,/sell-bike,User Auth Required
Sell Bike Page,Form Navigation,Submit Listing Button,Click,User submits completed form,Create bike listing,Process form submission,handleSubmit,/sell-bike,User Auth Required
Contact Page,Contact Information,Phone Number Link,Click,User clicks phone number,Initiate phone call,Open phone app,Link action,/contact,No Auth
Contact Page,Contact Information,Email Address Link,Click,User clicks email address,Open email client,Compose email,Link action,/contact,No Auth
Contact Page,Contact Information,Address Display,Display,Shows office location,Display contact address,Show location info,Static display,/contact,No Auth
News Page,News Section,News Article Card,Click,User clicks news article,Navigate to full article,Show article details,Link navigation,/news/[slug],No Auth
News Page,News Section,Featured Article,Click,User clicks featured story,Navigate to featured article,Show article content,Link navigation,/news/[slug],No Auth
Videos Page,Video Section,Video Thumbnail,Click,User clicks video thumbnail,Play video content,Show video player,Link navigation,/videos/[id],No Auth
Videos Page,Video Section,Video Title Link,Click,User clicks video title,Navigate to video page,Show video player,Link navigation,/videos/[id],No Auth
Web Stories Page,Stories Grid,Story Thumbnail,Click,User clicks story card,Open story viewer,Show story interface,Link navigation,/web-stories/[id],No Auth
Web Stories Page,Story Viewer,Next Story Button,Click,User navigates to next story,Show next story in sequence,Advance story progression,handleNextStory,/web-stories/[id],No Auth
Web Stories Page,Story Viewer,Previous Story Button,Click,User goes to previous story,Show previous story,Go back in sequence,handlePreviousStory,/web-stories/[id],No Auth
Web Stories Page,Story Viewer,Progress Bar Segments,Click,User clicks progress segment,Jump to specific story part,Navigate to story section,handleProgressClick,/web-stories/[id],No Auth
Showrooms Page,Showroom Listings,Showroom Card,Click,User clicks showroom listing,Navigate to showroom details,Show showroom information,Link navigation,/showrooms/[id],No Auth
Showrooms Page,Filter Controls,Location Filter,Click,User filters by location,Filter showrooms by area,Show filtered showrooms,handleLocationFilter,/showrooms,No Auth
Showrooms Page,Filter Controls,Brand Filter,Click,User filters by brand,Filter showrooms by brand,Show brand showrooms,handleBrandFilter,/showrooms,No Auth
Showroom Detail Page,Showroom Actions,Contact Button,Click,User contacts showroom,Show contact information,Display contact details,handleContact,/showrooms/[id],No Auth
Showroom Detail Page,Showroom Actions,Get Directions Button,Click,User gets directions,Open maps application,Launch navigation app,handleDirections,/showrooms/[id],No Auth
Newsletter Page,Newsletter Signup,Email Input,Input,User enters email for newsletter,Collect subscription email,Store email data,handleEmailChange,/newsletter,No Auth
Newsletter Page,Newsletter Signup,Subscribe Button,Click,User subscribes to newsletter,Add to mailing list,Process subscription,handleSubscribe,/newsletter,No Auth
About Page,About Content,Company Information,Display,Shows company details,Display about information,Show company info,Static display,/about,No Auth
About Page,About Content,Team Section,Display,Shows team information,Display team details,Show team info,Static display,/about,No Auth
Electric Page,Electric Bikes Section,Electric Bike Card,Click,User clicks electric bike,Navigate to bike details,Show electric bike info,Link navigation,/bikes/[id],No Auth
Electric Page,Charging Stations,Station Location Card,Click,User clicks charging station,Show station details,Display station information,Link navigation,/electric/charging-stations/[id],No Auth
Upcoming Bikes Page,Upcoming Bikes Grid,Upcoming Bike Card,Click,User clicks upcoming bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Upcoming Bikes Page,Upcoming Bikes Grid,Notify Me Button,Click,User requests notifications,Subscribe to bike updates,Store notification request,handleNotifyRequest,/upcoming-bikes,No Auth
Latest Bikes Page,Latest Bikes Grid,Latest Bike Card,Click,User clicks new launch bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Used Bikes Page,Used Bike Listings,Used Bike Card,Click,User clicks used bike listing,Navigate to used bike details,Show used bike information,Link navigation,/used-bikes/[id],No Auth
Used Bikes Page,Used Bike Listings,Contact Seller Button,Click,User contacts seller,Show seller contact info,Display contact details,handleContactSeller,/used-bikes/[id],No Auth
Scooters Page,Scooter Listings,Scooter Card,Click,User clicks scooter card,Navigate to scooter details,Show scooter information,Link navigation,/bikes/[id],No Auth
Scooters Page,Filter Controls,Scooter Brand Filter,Click,User filters by scooter brand,Filter scooters by brand,Apply brand filter,handleBrandFilter,/scooters,No Auth
Scooters Page,Filter Controls,Price Range Filter,Input,User sets price range,Filter by scooter price,Apply price filter,handlePriceFilter,/scooters,No Auth
